['INFO ]2024-03-30 13:00:11,982(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-Post Request sent with valid request body
['INFO ]2024-03-30 13:00:15,621(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-----User successfully created token------:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJudW1weW5pbmphQGdtYWlsLmNvbSIsImlhdCI6MTcxMTgxODAxNSwiZXhwIjoxNzExODQ2ODE1fQ.m_suDk8lL9CuVXQURL1sH93G66b1Ah21wWGTRF0NfxW-xm3uB3c7NgMrsRywL8oGnXkPIJDjCPuFKUhie4yWaA
['INFO ]2024-03-30 13:00:16,123(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request sent with valid Endpoint and request body
['INFO ]2024-03-30 13:00:16,664(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-userId got created :U873
['INFO ]2024-03-30 13:00:16,671(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request for Get All users by RoleId v2
['INFO ]2024-03-30 13:00:17,669(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Response Status is= 200
['INFO ]2024-03-30 13:00:17,727(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-User request is successful
['INFO ]2024-03-30 13:00:17,733(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)----update user by Admin Id---
['INFO ]2024-03-30 16:10:51,929(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-Post Request sent with valid request body
['INFO ]2024-03-30 16:10:55,386(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-----User successfully created token------:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJudW1weW5pbmphQGdtYWlsLmNvbSIsImlhdCI6MTcxMTgyOTQ1NCwiZXhwIjoxNzExODU4MjU0fQ.tOs8f38RtyGMyCV1uS4oudoVyIKbC8CmJE73_qxnjuyjTLLiaR-FGDg5ogjiYpUQoy1POms4srl7vw31NBweDw
['INFO ]2024-03-30 16:10:55,953(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request sent with valid Endpoint and request body
['INFO ]2024-03-30 16:10:56,491(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-userId got created :U957
['INFO ]2024-03-30 16:10:56,499(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request for Get All users by RoleId v2
['INFO ]2024-03-30 16:10:57,517(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Response Status is= 200
['INFO ]2024-03-30 16:10:57,579(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-User request is successful
['INFO ]2024-03-30 16:10:57,586(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)----update user by Admin Id---
['INFO ]2024-03-30 16:40:03,238(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-Post Request sent with valid request body
['INFO ]2024-03-30 16:40:06,741(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-----User successfully created token------:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJudW1weW5pbmphQGdtYWlsLmNvbSIsImlhdCI6MTcxMTgzMTIwNiwiZXhwIjoxNzExODYwMDA2fQ.Auz_2qSuLJYj53GY9ZXX7fwN7rN34KBFPZxRYvqvO8QN8EgW65wqdUZ6k56IPKUSW5-KY4jCzj9IjK5WnAlbzA
['INFO ]2024-03-30 16:40:07,187(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request sent with valid Endpoint and request body
['INFO ]2024-03-30 16:40:07,376(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request for Get All users by RoleId v2
['INFO ]2024-03-30 16:40:08,397(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Response Status is= 200
['INFO ]2024-03-30 16:40:08,439(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-User request is successful
['INFO ]2024-03-30 16:40:08,445(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)----update user by Admin Id---
['INFO ]2024-03-30 16:41:18,172(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-Post Request sent with valid request body
['INFO ]2024-03-30 16:41:21,337(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-----User successfully created token------:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJudW1weW5pbmphQGdtYWlsLmNvbSIsImlhdCI6MTcxMTgzMTI4MCwiZXhwIjoxNzExODYwMDgwfQ.fsXQPnO99mbs5bvJ92b_jEj6SFmvD-K0-pSBVPNomzKCofTtD07DpttitPB7BMN5jy7QaqTH7ERgK65fQkMZwA
['INFO ]2024-03-30 16:41:21,870(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request sent with valid Endpoint and request body
['INFO ]2024-03-30 16:41:22,369(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-userId got created :U967
['INFO ]2024-03-30 16:41:22,377(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request for Get All users by RoleId v2
['INFO ]2024-03-30 16:41:23,582(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Response Status is= 200
['INFO ]2024-03-30 16:41:23,623(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-User request is successful
['INFO ]2024-03-30 16:41:23,629(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)----update user by Admin Id---
['INFO ]2024-03-30 18:07:06,991(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-Post Request sent with valid request body
['INFO ]2024-03-30 18:07:10,726(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-----User successfully created token------:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJudW1weW5pbmphQGdtYWlsLmNvbSIsImlhdCI6MTcxMTgzNjQzMCwiZXhwIjoxNzExODY1MjMwfQ.fUE2bJiJ2NqpgySWVUf1IgcdK8g357MeLGmpQqUq49M0HPGSMnFkVuftfNq8NaKxBfhsQ_7kMteqFmXb60ZEYw
['INFO ]2024-03-30 18:07:11,332(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request sent with valid Endpoint and request body
['INFO ]2024-03-30 18:07:11,848(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-userId got created :U1044
['INFO ]2024-03-30 18:07:11,855(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request for Get All users by RoleId v2
['INFO ]2024-03-30 18:07:12,886(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Response Status is= 200
['INFO ]2024-03-30 18:07:12,931(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-User request is successful
['INFO ]2024-03-30 18:07:12,939(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)----update user by Admin Id---
['INFO ]2024-03-30 18:07:13,259(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-updated userVisaStatus :null
['INFO ]2024-03-30 18:07:13,259(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Response Status is= 400
['INFO ]2024-03-30 18:07:13,260(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-User Request unsuccessful
['INFO ]2024-03-30 18:11:27,039(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-Post Request sent with valid request body
['INFO ]2024-03-30 18:11:30,550(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-----User successfully created token------:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJudW1weW5pbmphQGdtYWlsLmNvbSIsImlhdCI6MTcxMTgzNjY4OSwiZXhwIjoxNzExODY1NDg5fQ.rUhqOww-gkX66gbvC7PrGDZxbj7Dg7ZyQcmEYmEU9kIJMlERUijrrfYasi9Y5bK09kDMAbGdfRwINo0Bzu5-IQ
['INFO ]2024-03-30 18:11:31,524(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request sent with valid Endpoint and request body
['INFO ]2024-03-30 18:11:32,070(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-userId got created :U1049
['INFO ]2024-03-30 18:11:32,079(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request for Get All users by RoleId v2
['INFO ]2024-03-30 18:11:33,201(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Response Status is= 200
['INFO ]2024-03-30 18:11:33,252(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-User request is successful
['INFO ]2024-03-30 18:11:33,269(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)----update user by Admin Id---
['INFO ]2024-03-30 18:11:33,639(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-updated userVisaStatus :Canada-Citizen
['INFO ]2024-03-30 18:11:33,640(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Response Status is= 200
['INFO ]2024-03-30 18:11:33,642(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-User request is successful
['INFO ]2024-03-30 18:18:24,536(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-Post Request sent with valid request body
['INFO ]2024-03-30 18:18:28,355(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-----User successfully created token------:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJudW1weW5pbmphQGdtYWlsLmNvbSIsImlhdCI6MTcxMTgzNzEwNywiZXhwIjoxNzExODY1OTA3fQ.ynFr2klyTwyuyrI1LHgnw1hr8BMESCWr5ZKFZKtqARkCT5QBY6PUvyJtjdJjJJo9wa-LXh4zAjVeQKkxINPMsw
['INFO ]2024-03-30 18:46:55,397(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request sent with valid Endpoint and request body
['INFO ]2024-03-30 18:46:56,544(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request for Get All users by RoleId v2
['INFO ]2024-03-30 18:46:56,724(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Response Status is= 401
['INFO ]2024-03-30 18:46:56,765(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)----update user by Admin Id---
['INFO ]2024-03-30 19:24:31,118(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-Post Request sent with valid request body
['INFO ]2024-03-30 19:24:34,682(yyyy-MM-ddHH:mm:ss.SSS][main]UserLogin.java1)-----User successfully created token------:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJudW1weW5pbmphQGdtYWlsLmNvbSIsImlhdCI6MTcxMTg0MTA3NCwiZXhwIjoxNzExODY5ODc0fQ.19tOVM6zxjjJxG5hZ2x0iqI5OeYtturAdVl-Ox8P-BnrICETIJ3wSzXKcWx7cNHHtDjRIHwpqPl_t6saW5rkpw
['INFO ]2024-03-30 19:24:35,583(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request sent with valid Endpoint and request body
['INFO ]2024-03-30 19:24:36,110(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-userId got created :U1085
['INFO ]2024-03-30 19:24:36,164(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Request for Get All users by RoleId v2
['INFO ]2024-03-30 19:24:37,206(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Response Status is= 200
['INFO ]2024-03-30 19:24:37,240(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-User request is successful
['INFO ]2024-03-30 19:24:37,247(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)----update user by Admin Id---
['INFO ]2024-03-30 19:24:37,566(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-updated userVisaStatus :Canada-Citizen
['INFO ]2024-03-30 19:24:37,567(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-Response Status is= 200
['INFO ]2024-03-30 19:24:37,568(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)-User request is successful
['INFO ]2024-03-30 19:24:37,574(yyyy-MM-ddHH:mm:ss.SSS][main]UserModule.java1)----update user by Rolestatus---
